name,cbs_code,province,found,slug,url,final_url,title,status,reason,candidates_tried
Bonaire,9001,Caribisch Nederland,False,bonaire,https://bonaire.incijfers.nl/Dashboard,https://bonaire.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,bonaire
Saba,9003,Caribisch Nederland,False,saba,https://saba.incijfers.nl/Dashboard,https://saba.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,saba
Sint Eustatius,9002,Caribisch Nederland,False,sinteustatius,https://sinteustatius.incijfers.nl/Dashboard,https://sinteustatius.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,sint-eustatius sinteustatius
Aa en Hunze,1680,Drenthe,False,aaenhunze,https://aaenhunze.incijfers.nl/Dashboard,https://aaenhunze.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,aa-en-hunze aaenhunze
Assen,0106,Drenthe,True,assen,https://assen.incijfers.nl/Dashboard,https://assen.incijfers.nl/Dashboard,Assen in Cijfers - Assen,200,ok,assen
Borger-Odoorn,1681,Drenthe,False,borger,https://borger.incijfers.nl/Dashboard,https://borger.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,borger-odoorn borgerodoorn borger
Coevorden,0109,Drenthe,False,coevorden,https://coevorden.incijfers.nl/Dashboard,https://coevorden.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,coevorden
De Wolden,1690,Drenthe,False,wolden,https://wolden.incijfers.nl/Dashboard,https://wolden.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,de-wolden dewolden wolden
Emmen,0114,Drenthe,False,emmen,https://emmen.incijfers.nl/Dashboard,https://emmen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,emmen
Hoogeveen,0118,Drenthe,False,hoogeveen,https://hoogeveen.incijfers.nl/Dashboard,https://hoogeveen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,hoogeveen
Meppel,0119,Drenthe,True,meppel,https://meppel.incijfers.nl/Dashboard,https://meppel.incijfers.nl/Dashboard,Meppel in Cijfers,200,ok,meppel
Midden-Drenthe,1731,Drenthe,False,midden,https://midden.incijfers.nl/Dashboard,https://midden.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,midden-drenthe middendrenthe midden
Noordenveld,1699,Drenthe,False,noordenveld,https://noordenveld.incijfers.nl/Dashboard,https://noordenveld.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,noordenveld
Tynaarlo,1730,Drenthe,True,tynaarlo,https://tynaarlo.incijfers.nl/Dashboard,https://tynaarlo.incijfers.nl/Dashboard,Tynaarlo in Cijfers - Gemeente Tynaarlo,200,ok,tynaarlo
Westerveld,1701,Drenthe,False,westerveld,https://westerveld.incijfers.nl/Dashboard,https://westerveld.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,westerveld
Almere,0034,Flevoland,False,almere,https://almere.incijfers.nl/Dashboard,https://almere.incijfers.nl/Dashboard,,200,not_dashboard,almere
Dronten,0303,Flevoland,False,dronten,https://dronten.incijfers.nl/Dashboard,https://dronten.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,dronten
Lelystad,0995,Flevoland,True,lelystad,https://lelystad.incijfers.nl/Dashboard,https://lelystad.incijfers.nl/Dashboard,Lelystad in Cijfers - Lelystad,200,ok,lelystad
Noordoostpolder,0171,Flevoland,False,noordoostpolder,https://noordoostpolder.incijfers.nl/Dashboard,https://noordoostpolder.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,noordoostpolder
Urk,0184,Flevoland,False,urk,https://urk.incijfers.nl/Dashboard,https://urk.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,urk
